,batsman,runs,balls,4s,6s,SR,bowler,fielders,kind,player_out,date,team2,winner,result,venue
7,Farhad Reza,0.0,4,0,0,0.0,Nizakat Khan,['JJ Atkinson'],caught,Farhad Reza,2014-03-20,Hong Kong,Hong Kong,0,Zahur Ahmed Chowdhury Stadium
1,Imrul Kayes,0.0,2,0,0,0.0,Mohammad Amir,['Misbah-ul-Haq'],caught,Imrul Kayes,2010-05-01,Pakistan,Pakistan,0,"Beausejour Stadium, Gros Islet"
0,Imrul Kayes,0.0,6,0,0,0.0,SW Tait,['DJ Hussey'],caught,Imrul Kayes,2010-05-05,Bangladesh,Australia,0,"Kensington Oval, Bridgetown"
1,Imrul Kayes,22.0,23,3,1,95.65217391304348,A Martin,['DP Hyatt'],caught,Imrul Kayes,2011-10-11,West Indies,Bangladesh,0,Shere Bangla National Stadium
1,Imrul Kayes,2.0,10,0,0,20.0,notOut,notOut,notOut,notOut,2011-11-29,Pakistan,Pakistan,0,Shere Bangla National Stadium
1,Imrul Kayes,10.0,11,2,0,90.9090909090909,TS Chisoro,['SC Williams'],caught,Imrul Kayes,2015-11-15,Zimbabwe,Zimbabwe,0,Shere Bangla National Stadium
0,Imrul Kayes,1.0,3,0,0,33.33333333333333,TS Chisoro,0,bowled,Imrul Kayes,2016-01-20,Zimbabwe,Zimbabwe,0,Sheikh Abu Naser Stadium
5,Imrul Kayes,18.0,15,2,1,120.0,Sikandar Raza,['LM Jongwe'],caught,Imrul Kayes,2016-01-22,Zimbabwe,Zimbabwe,0,Sheikh Abu Naser Stadium
3,Imrul Kayes,14.0,24,1,0,58.333333333333336,R Ashwin,['Yuvraj Singh'],caught,Imrul Kayes,2016-02-24,India,India,0,Shere Bangla National Stadium
1,Imrul Kayes,0.0,2,0,0,0.0,MJ Henry,['L Ronchi'],caught,Imrul Kayes,2017-01-03,Bangladesh,New Zealand,0,McLean Park
1,Imrul Kayes,0.0,3,0,0,0.0,MJ Santner,['TC Bruce'],caught,Imrul Kayes,2017-01-06,Bangladesh,New Zealand,0,Bay Oval
0,Imrul Kayes,36.0,27,4,1,133.33333333333331,notOut,notOut,notOut,notOut,2017-04-06,Bangladesh,Bangladesh,0,R Premadasa Stadium
7,Jahanara Alam,4.0,10,0,0,40.0,CR Seneviratna,['HMD Rasangika'],run out,Jahanara Alam,2012-10-28,Sri Lanka,Bangladesh,0,Guanggong International Cricket Stadium
6,Jahanara Alam,1.0,5,0,0,20.0,Sadia Yousuf,['Batool Fatima'],stumped,Jahanara Alam,2012-10-30,Pakistan,Pakistan,0,Guanggong International Cricket Stadium
9,Jahanara Alam,2.0,3,0,0,66.66666666666666,notOut,notOut,notOut,notOut,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
9,Jahanara Alam,0.0,2,0,0,0.0,notOut,notOut,notOut,notOut,2014-03-30,India,India,0,Sylhet Stadium
11,Jahanara Alam,4.0,2,0,0,200.0,notOut,notOut,notOut,notOut,2014-04-01,Sri Lanka,Bangladesh,0,Sylhet Stadium
7,Jahanara Alam,5.0,9,0,0,55.55555555555556,notOut,notOut,notOut,notOut,2015-09-30,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
8,Jahanara Alam,1.0,2,0,0,50.0,notOut,notOut,notOut,notOut,2015-10-01,Bangladesh,Pakistan,0,Southend Club Cricket Stadium
7,Jahanara Alam,10.0,13,0,0,76.92307692307693,notOut,notOut,notOut,notOut,2016-03-15,Bangladesh,India,0,M Chinnaswamy Stadium
7,Jahanara Alam,2.0,3,0,0,66.66666666666666,JL Gunn,['LS Greenway'],caught,Jahanara Alam,2016-03-17,England,England,0,M Chinnaswamy Stadium
8,Jahanara Alam,0.0,1,0,0,0.0,SR Taylor,0,lbw,Jahanara Alam,2016-03-20,West Indies,West Indies,0,"MA Chidambaram Stadium, Chepauk"
8,Jahanara Alam,11.0,9,1,0,122.22222222222223,Sana Mir,"['Sidra Ameen', 'Sidra Nawaz']",run out,Fargana Hoque,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
9,Jahanara Alam,11.0,9,1,0,122.22222222222223,Asmavia Iqbal,"['Sidra Nawaz', 'Asmavia Iqbal']",run out,Jahanara Alam,2016-03-24,Pakistan,Pakistan,0,Feroz Shah Kotla
7,Jahanara Alam,2.0,2,0,0,100.0,notOut,notOut,notOut,notOut,2016-09-05,Bangladesh,Ireland,0,"Bready Cricket Club, Magheramason"
7,Jahurul Islam,18.0,13,1,1,138.46153846153845,DP Nannes,['MJ Clarke'],caught,Jahurul Islam,2010-05-05,Bangladesh,Australia,0,"Kensington Oval, Bridgetown"
7,Jahurul Islam,2.0,2,0,0,100.0,T van der Gugten,['W Barresi'],caught,Jahurul Islam,2012-07-26,Bangladesh,Netherlands,0,Sportpark Westvliet
2,Jahurul Islam,11.0,9,2,0,122.22222222222223,AD Mathews,0,bowled,Jahurul Islam,2013-03-31,Bangladesh,Sri Lanka,0,Pallekele International Cricket Stadium
1,Junaid Siddique,71.0,52,6,3,136.53846153846155,Mohammad Asif,['Mohammad Hafeez'],run out,Tamim Iqbal,2007-09-20,Pakistan,Pakistan,0,Newlands
2,Junaid Siddique,71.0,52,6,3,136.53846153846155,Shoaib Malik,['Misbah-ul-Haq'],caught,Junaid Siddique,2007-09-20,Pakistan,Pakistan,0,Newlands
1,Junaid Siddique,4.0,2,1,0,200.0,RK Kleinveldt,['AB de Villiers'],caught,Junaid Siddique,2008-11-05,Bangladesh,South Africa,0,New Wanderers Stadium
1,Junaid Siddique,41.0,22,2,3,186.36363636363635,PP Ojha,['Harbhajan Singh'],caught,Junaid Siddique,2009-06-06,India,India,0,Trent Bridge
1,Junaid Siddique,13.0,6,3,0,216.66666666666666,DT Johnston,['JP Bray'],caught,Junaid Siddique,2009-06-08,Ireland,Ireland,0,Trent Bridge
1,Junaid Siddique,5.0,6,1,0,83.33333333333334,DJG Sammy,['DS Smith'],caught,Junaid Siddique,2009-08-02,Bangladesh,West Indies,0,"Warner Park, Basseterre"
1,Junaid Siddique,25.0,20,3,1,125.0,T van der Gugten,['PW Borren'],caught,Junaid Siddique,2012-07-25,Bangladesh,Bangladesh,0,Sportpark Westvliet
1,Junaid Siddique,0.0,4,0,0,0.0,TGJ Gruijters,['PW Borren'],caught,Junaid Siddique,2012-07-26,Bangladesh,Netherlands,0,Sportpark Westvliet
10,Khadija Tul Kubra,0.0,2,0,0,0.0,SK Dolawatte,0,bowled,Khadija Tul Kubra,2012-10-28,Sri Lanka,Bangladesh,0,Guanggong International Cricket Stadium
10,Khadija Tul Kubra,0.0,1,0,0,0.0,SC Selman,0,bowled,Khadija Tul Kubra,2014-03-26,West Indies,West Indies,0,Sylhet Stadium
0,Lata Mondal,7.0,21,0,0,33.33333333333333,I Ranaweera,0,lbw,Lata Mondal,2012-10-28,Sri Lanka,Bangladesh,0,Guanggong International Cricket Stadium
3,Lata Mondal,1.0,3,0,0,33.33333333333333,Bismah Maroof,['Marina Iqbal'],caught,Lata Mondal,2012-10-30,Pakistan,Pakistan,0,Guanggong International Cricket Stadium
